route_id,direction_id,direction
3873,1,Inbound
3873,0,Outbound
3871,1,Inbound
3871,0,Outbound
3870,1,Inbound
3870,0,Outbound
3691,,Loop
3690,1,Inbound
3690,0,Outbound
3689,1,Inbound
3689,0,Outbound
3688,1,Inbound
3688,0,Outbound
3687,1,Inbound
3687,0,Outbound
3686,1,Inbound
3686,0,Outbound
3685,1,Inbound
3685,0,Outbound
3683,1,Inbound
3683,0,Outbound
3682,1,Inbound
3682,0,Outbound
3681,1,Inbound
3681,0,Outbound
3680,1,Inbound
3680,0,Outbound
3679,1,Inbound
3679,0,Outbound
3678,1,Inbound
3678,0,Outbound
3677,1,Inbound
3677,0,Outbound
3676,1,Inbound
3676,0,Outbound
3674,1,Inbound
3674,0,Outbound
3673,1,Inbound
3673,0,Outbound
3671,1,Inbound
3671,0,Outbound
3670,1,Inbound
3670,0,Outbound
3668,1,Inbound
3668,0,Outbound
3667,1,Inbound
3667,0,Outbound
3666,1,Inbound
3666,0,Outbound
3663,1,Inbound
3663,0,Outbound
3661,1,Inbound
3661,0,Outbound
