timetable_id,stop_id,stop_sequence
22,820966,1
22,820880,2
22,2328254,3
22,820895,4
22,820896,5
22,820900,6
22,820915,7
22,822166,8
24,822166,1
24,821006,2
24,821014,3
24,821770,4
24,822184,5
24,821002,6
37,822166,1
37,820850,2
37,821231,3
37,821242,4
37,822171,5
37,822187,6
40,822187,1
40,822171,2
40,821180,3
40,821190,4
40,821001,5
40,822166,6
46,821914,1
46,821170,2
46,821270,3
46,821287,4
46,820851,5
46,822166,6
49,822166,1
49,821014,2
49,821450,3
49,821411,4
49,821408,5
52,821408,1
52,821411,2
52,821169,3
52,820989,4
52,822166,5
85,822166,1
85,821670,2
85,821629,3
85,2484304,4
85,2484307,5
86,822166,1
86,821670,2
86,821629,3
86,2484304,4
86,2484307,5
87,2484307,1
87,2484305,2
87,821629,3
87,821642,4
87,820851,5
87,822166,6
88,2484307,1
88,2484305,2
88,821629,3
88,821642,4
88,820851,5
88,822166,6
93,821681,1
93,821002,2
93,821682,3
93,821700,4
93,820834,5
93,822166,6
103,822166,1
103,820850,2
103,821231,3
103,821242,4
103,821261,5
103,821202,6
103,821267,7
103,821213,8
103,822189,9
103,821783,10
103,821771,11
104,821771,1
104,821776,2
104,822189,3
104,821213,4
104,821215,5
104,821202,6
104,821205,7
104,821180,8
104,821190,9
104,821001,10
104,822166,11
109,821786,1
109,2371016,2
109,821335,3
109,820896,4
109,821798,5
109,822166,6
132,824901,1
132,824887,2
132,824893,3
132,824888,4
132,824889,5
132,824854,6
132,824863,7
132,824900,8
132,824894,9
132,824901,10
133,824901,1
133,824894,2
133,824900,3
133,824863,4
133,824854,5
133,824889,6
133,824888,7
133,824887,8
133,824893,9
133,824901,10
